INSTANCIA;LITERATURA;MELHOR;AVG;RPDbst;RPDavg
20x2_4_U_10_100__R_uni;371;386.0;392.2;0.04;0.06
30x6_5_JobCorre_R_inter;366;334.0;343.8;-0.09;-0.06
25x6_2_MachCorre_R_inter;191;194.0;197.7;0.02;0.04
30x4_2_U_100_200__R_inter;899;900.0;902.5;0.00;0.00
30x4_5_MachCorre_R_inter;165;167.0;170.3;0.01;0.03
20x6_4_U_1_100__R_inter;51;63.0;79.0;0.24;0.55
30x6_5_U_100_200__R_uni;599;616.0;623.5;0.03;0.04
20x4_5_MachCorre_R_inter;391;386.0;391.8;-0.01;0.00
30x6_4_U_100_200__R_uni;593;606.0;622.7;0.02;0.05
30x4_1_U_1_100__R_inter;156;156.0;157.4;0.00;0.01
20x2_5_U_1_100__R_uni;349;349.0;362.7;0.00;0.04
30x4_4_U_1_100__R_inter;139;139.0;140.1;0.00;0.01
25x4_3_JobCorre_R_inter;362;366.0;369.2;0.01;0.02
20x2_2_U_1_100__R_inter;370;370.0;370.0;0.00;0.00
20x6_2_U_10_100__R_inter;107;107.0;110.4;0.00;0.03
25x4_1_U_10_100__R_uni;199;215.0;224.4;0.08;0.13
25x6_2_U_10_100__R_inter;124;127.0;132.9;0.02;0.07
30x2_4_U_10_100__R_inter;571;571.0;571.0;0.00;0.00
20x6_4_JobCorre_R_uni;201;202.0;205.4;0.00;0.02
30x2_5_U_100_200__R_uni;1976;1918.0;1933.2;-0.03;-0.02
30x4_1_U_100_200__R_inter;941;941.0;942.2;0.00;0.00
20x4_3_U_1_100__R_uni;128;130.0;134.9;0.02;0.05
20x6_3_JobCorre_R_inter;185;196.0;199.1;0.06;0.08
25x6_5_MachCorre_R_uni;200;210.0;211.3;0.05;0.06
20x4_3_JobCorre_R_inter;328;315.0;326.5;-0.04;-0.00
25x6_5_U_1_100__R_inter;67;67.0;74.5;0.00;0.11
30x4_5_U_100_200__R_uni;957;960.0;966.5;0.00;0.01
25x4_2_MachCorre_R_inter;180;185.0;191.3;0.03;0.06
30x4_5_U_10_100__R_inter;203;207.0;210.5;0.02;0.04
30x6_3_MachCorre_R_inter;186;198.0;202.1;0.06;0.09
30x2_3_MachCorre_R_uni;1558;1476.0;1486.7;-0.05;-0.05
20x4_1_U_100_200__R_inter;623;623.0;624.8;0.00;0.00
25x6_2_JobCorre_R_uni;188;198.0;201.9;0.05;0.07
20x2_5_U_10_100__R_uni;406;414.0;426.0;0.02;0.05
30x2_2_U_10_100__R_inter;611;591.0;592.4;-0.03;-0.03
20x2_4_JobCorre_R_inter;527;517.0;525.6;-0.02;-0.00
25x2_1_MachCorre_R_uni;248;248.0;252.5;0.00;0.02
30x4_4_U_100_200__R_uni;880;886.0;888.5;0.01;0.01
20x6_1_MachCorre_R_inter;177;180.0;181.9;0.02;0.03
25x2_2_U_100_200__R_uni;1816;1792.0;1806.7;-0.01;-0.01
20x6_1_U_10_100__R_inter;102;102.0;106.6;0.00;0.05
25x6_3_U_1_100__R_inter;57;57.0;62.2;0.00;0.09
30x2_3_MachCorre_R_inter;930;867.0;870.5;-0.07;-0.06
30x6_2_MachCorre_R_inter;426;395.0;398.7;-0.07;-0.06
25x4_5_U_1_100__R_uni;206;195.0;197.8;-0.05;-0.04
30x6_1_JobCorre_R_inter;346;312.0;322.3;-0.10;-0.07
30x2_3_U_100_200__R_uni;2268;2206.0;2228.8;-0.03;-0.02
25x2_3_MachCorre_R_inter;185;185.0;185.1;0.00;0.00
20x2_4_U_1_100__R_inter;369;375.0;375.0;0.02;0.02
25x6_1_U_1_100__R_uni;71;72.0;76.0;0.01;0.07
25x4_4_U_100_200__R_inter;781;784.0;786.6;0.00;0.01
25x4_5_U_1_100__R_inter;151;151.0;153.2;0.00;0.01
20x6_2_JobCorre_R_uni;171;178.0;180.9;0.04;0.06
25x2_4_U_1_100__R_inter;544;560.0;564.6;0.03;0.04
30x6_1_U_10_100__R_uni;119;128.0;137.6;0.08;0.16
30x6_4_U_10_100__R_inter;105;106.0;111.6;0.01;0.06
20x4_4_MachCorre_R_inter;234;235.0;237.2;0.00;0.01
25x6_1_U_100_200__R_inter;534;539.0;546.1;0.01;0.02
30x6_3_U_1_100__R_uni;95;95.0;101.5;0.00;0.07
20x2_3_U_10_100__R_inter;511;520.0;524.9;0.02;0.03
25x6_5_U_100_200__R_inter;522;522.0;534.8;0.00;0.02
20x6_3_MachCorre_R_inter;192;200.0;203.5;0.04;0.06
20x2_1_JobCorre_R_inter;532;534.0;555.5;0.00;0.04
25x4_2_JobCorre_R_inter;414;397.0;402.8;-0.04;-0.03
30x2_4_U_1_100__R_inter;471;471.0;471.0;0.00;0.00
20x6_1_U_100_200__R_uni;423;447.0;457.1;0.06;0.08
20x6_4_MachCorre_R_inter;62;91.0;96.0;0.47;0.55
25x4_4_MachCorre_R_uni;163;170.0;172.5;0.04;0.06
