Instance;min sol
12x2_2_U_100_200__R_inter;913
12x2_2_U_100_200__R_uni;923
12x2_3_JobCorre_R_inter;368
12x2_3_JobCorre_R_uni;304
12x2_3_MachCorre_R_inter;180
12x2_3_MachCorre_R_uni;121
12x2_3_U_1_100__R_inter;281
12x2_3_U_1_100__R_uni;265
12x2_3_U_10_100__R_inter;320
12x2_3_U_10_100__R_uni;304
12x2_3_U_100_200__R_inter;978
12x2_3_U_100_200__R_uni;884
12x2_4_JobCorre_R_inter;464
12x2_4_JobCorre_R_uni;372
12x2_4_MachCorre_R_inter;301
12x2_4_MachCorre_R_uni;359
12x2_4_U_1_100__R_inter;280
12x2_4_U_1_100__R_uni;296
12x2_4_U_10_100__R_inter;309
12x2_4_U_10_100__R_uni;324
12x2_4_U_100_200__R_inter;876
12x2_4_U_100_200__R_uni;898
12x2_5_JobCorre_R_inter;595
12x2_5_JobCorre_R_uni;471
12x2_5_MachCorre_R_inter;468
12x2_5_MachCorre_R_uni;211
12x2_5_U_1_100__R_inter;247
12x2_5_U_1_100__R_uni;276
12x2_5_U_10_100__R_inter;273
12x2_5_U_10_100__R_uni;304
12x2_5_U_100_200__R_inter;881
12x2_5_U_100_200__R_uni;874
12x4_1_JobCorre_R_inter;232
12x4_1_JobCorre_R_uni;198
12x4_1_MachCorre_R_inter;214
12x4_1_MachCorre_R_uni;229
12x4_1_U_1_100__R_inter;93
12x4_1_U_1_100__R_uni;70
12x4_1_U_10_100__R_inter;108
12x4_1_U_10_100__R_uni;98
12x4_1_U_100_200__R_inter;403
12x4_1_U_100_200__R_uni;388
12x4_2_JobCorre_R_inter;175
12x4_2_JobCorre_R_uni;169
12x4_2_MachCorre_R_inter;105
12x4_2_MachCorre_R_uni;261
12x4_2_U_1_100__R_inter;84
12x4_2_U_1_100__R_uni;93
12x4_2_U_10_100__R_inter;106
12x4_2_U_10_100__R_uni;120
12x4_2_U_100_200__R_inter;407
12x4_2_U_100_200__R_uni;403
12x4_3_JobCorre_R_inter;148
12x4_3_JobCorre_R_uni;162
12x4_3_MachCorre_R_inter;107
12x4_3_MachCorre_R_uni;72
12x4_3_U_1_100__R_inter;74
12x4_3_U_1_100__R_uni;66
12x4_3_U_10_100__R_inter;95
12x4_3_U_10_100__R_uni;91
12x4_3_U_100_200__R_inter;372
12x4_3_U_100_200__R_uni;368
12x4_4_JobCorre_R_inter;189
12x4_4_JobCorre_R_uni;187
12x4_4_MachCorre_R_inter;131
12x4_4_MachCorre_R_uni;133
12x4_4_U_1_100__R_inter;90
12x4_4_U_1_100__R_uni;81
12x4_4_U_10_100__R_inter;110
12x4_4_U_10_100__R_uni;110
12x4_4_U_100_200__R_inter;392
12x4_4_U_100_200__R_uni;396
12x4_5_JobCorre_R_inter;184
12x4_5_JobCorre_R_uni;172
12x4_5_MachCorre_R_inter;93
12x4_5_MachCorre_R_uni;43
