Instance;min_sol;max_LB
12x2_1_JobCorre_R_uni;483;429
12x2_1_MachCorre_R_inter;329;329
12x2_1_MachCorre_R_uni;287;282
12x2_1_U_1_100__R_inter;171;171
12x2_1_U_1_100__R_uni;261;245
12x2_1_U_10_100__R_inter;205;205
12x2_1_U_10_100__R_uni;296;277
12x2_1_U_100_200__R_inter;774;774
12x2_1_U_100_200__R_uni;866;842
12x2_2_JobCorre_R_inter;323;323
12x2_2_JobCorre_R_uni;348;338
12x2_2_MachCorre_R_inter;204;202
12x2_2_MachCorre_R_uni;585;559
12x2_2_U_1_100__R_inter;322;322
12x2_2_U_1_100__R_uni;312;312
12x2_2_U_10_100__R_inter;341;341
12x2_2_U_10_100__R_uni;340;294
12x2_2_U_100_200__R_inter;913;830
12x2_2_U_100_200__R_uni;923;859
12x2_3_JobCorre_R_inter;368;367
12x2_3_JobCorre_R_uni;304;299
12x2_3_MachCorre_R_inter;180;180
12x2_3_MachCorre_R_uni;121;120
12x2_3_U_1_100__R_inter;281;281
12x2_3_U_1_100__R_uni;265;265
12x2_3_U_10_100__R_inter;320;320
12x2_3_U_10_100__R_uni;304;284
12x2_3_U_100_200__R_inter;978;811
12x2_3_U_100_200__R_uni;884;852
12x2_4_JobCorre_R_inter;464;464
12x2_4_JobCorre_R_uni;372;372
12x2_4_MachCorre_R_inter;301;296
12x2_4_MachCorre_R_uni;359;353
12x2_4_U_1_100__R_inter;280;280
12x2_4_U_1_100__R_uni;296;290
12x2_4_U_10_100__R_inter;309;309
12x2_4_U_10_100__R_uni;324;314
12x2_4_U_100_200__R_inter;876;876
12x2_4_U_100_200__R_uni;898;888
12x2_5_JobCorre_R_inter;595;451
12x2_5_JobCorre_R_uni;471;471
12x2_5_MachCorre_R_inter;468;404
12x2_5_MachCorre_R_uni;211;186
12x2_5_U_1_100__R_inter;247;236
12x2_5_U_1_100__R_uni;276;276
12x2_5_U_10_100__R_inter;273;273
12x2_5_U_10_100__R_uni;304;304
12x2_5_U_100_200__R_inter;881;867
12x2_5_U_100_200__R_uni;874;823
12x4_1_JobCorre_R_inter;232;201
12x4_1_JobCorre_R_uni;198;198
12x4_1_MachCorre_R_inter;214;210
12x4_1_MachCorre_R_uni;229;229
12x4_1_U_1_100__R_inter;93;93
12x4_1_U_1_100__R_uni;70;70
12x4_1_U_10_100__R_inter;108;108
12x4_1_U_10_100__R_uni;98;98
12x4_1_U_100_200__R_inter;403;403
12x4_1_U_100_200__R_uni;388;388
12x4_2_JobCorre_R_inter;175;172
12x4_2_JobCorre_R_uni;169;162
12x4_2_MachCorre_R_inter;105;105
12x4_2_MachCorre_R_uni;261;261
12x4_2_U_1_100__R_inter;84;84
12x4_2_U_1_100__R_uni;93;93
12x4_2_U_10_100__R_inter;106;105
12x4_2_U_10_100__R_uni;120;120
12x4_2_U_100_200__R_inter;407;407
12x4_2_U_100_200__R_uni;403;401
12x4_3_JobCorre_R_inter;148;148
12x4_3_JobCorre_R_uni;162;162
12x4_3_MachCorre_R_inter;107;107
12x4_3_MachCorre_R_uni;72;72
12x4_3_U_1_100__R_inter;74;74
12x4_3_U_1_100__R_uni;66;66
12x4_3_U_10_100__R_inter;95;95
12x4_3_U_10_100__R_uni;91;91
12x4_3_U_100_200__R_inter;372;372
12x4_3_U_100_200__R_uni;368;368
12x4_4_JobCorre_R_inter;189;189
12x4_4_JobCorre_R_uni;187;183
12x4_4_MachCorre_R_inter;131;131
12x4_4_MachCorre_R_uni;133;133
12x4_4_U_1_100__R_inter;90;90
12x4_4_U_1_100__R_uni;81;81
12x4_4_U_10_100__R_inter;110;110
12x4_4_U_10_100__R_uni;110;110
12x4_4_U_100_200__R_inter;392;392
12x4_4_U_100_200__R_uni;396;396
12x4_5_JobCorre_R_inter;184;170
12x4_5_JobCorre_R_uni;172;172
12x4_5_MachCorre_R_inter;93;93
12x4_5_MachCorre_R_uni;43;43
12x4_5_U_1_100__R_inter;78;78
12x4_5_U_1_100__R_uni;61;61
12x4_5_U_10_100__R_inter;102;102
12x4_5_U_10_100__R_uni;78;78
12x4_5_U_100_200__R_inter;383;383
12x4_5_U_100_200__R_uni;359;359
12x6_1_JobCorre_R_inter;145;145
12x6_1_JobCorre_R_uni;146;146
12x6_1_MachCorre_R_inter;62;62
12x6_1_MachCorre_R_uni;63;63
12x6_1_U_1_100__R_inter;49;49
12x6_1_U_1_100__R_uni;57;57
12x6_1_U_10_100__R_inter;57;57
12x6_1_U_10_100__R_uni;61;61
12x6_1_U_100_200__R_inter;250;250
12x6_1_U_100_200__R_uni;263;263
12x6_2_JobCorre_R_inter;107;107
12x6_2_JobCorre_R_uni;104;104
12x6_2_MachCorre_R_inter;145;145
12x6_2_MachCorre_R_uni;95;95
12x6_2_U_1_100__R_inter;54;54
12x6_2_U_1_100__R_uni;28;28
12x6_2_U_10_100__R_inter;61;61
12x6_2_U_10_100__R_uni;45;45
12x6_2_U_100_200__R_inter;260;260
12x6_2_U_100_200__R_uni;265;265
12x6_3_JobCorre_R_inter;141;141
12x6_3_JobCorre_R_uni;137;137
12x6_3_MachCorre_R_inter;58;58
12x6_3_MachCorre_R_uni;89;89
12x6_3_U_1_100__R_inter;57;57
12x6_3_U_1_100__R_uni;55;55
12x6_3_U_10_100__R_inter;71;71
12x6_3_U_10_100__R_uni;68;68
12x6_3_U_100_200__R_inter;281;281
12x6_3_U_100_200__R_uni;267;267
12x6_4_JobCorre_R_inter;167;167
12x6_4_JobCorre_R_uni;155;155
12x6_4_MachCorre_R_inter;52;52
