Instance;min_sol;max_LB
25x4_1_U_100_200__R_inter;757;757
25x4_1_U_100_200__R_uni;815;815
25x4_2_JobCorre_R_inter;414;386
25x4_2_JobCorre_R_uni;418;418
25x4_2_MachCorre_R_inter;180;180
25x4_2_MachCorre_R_uni;323;323
25x4_2_U_1_100__R_inter;115;115
25x4_2_U_1_100__R_uni;130;130
25x4_2_U_10_100__R_inter;164;164
25x4_2_U_10_100__R_uni;173;173
25x4_2_U_100_200__R_inter;752;752
25x4_2_U_100_200__R_uni;823;781
25x4_3_JobCorre_R_inter;362;362
25x4_3_JobCorre_R_uni;328;328
25x4_3_MachCorre_R_inter;648;531
25x4_3_MachCorre_R_uni;348;348
25x4_3_U_1_100__R_inter;127;127
25x4_3_U_1_100__R_uni;154;154
25x4_3_U_10_100__R_inter;170;170
25x4_3_U_10_100__R_uni;201;201
25x4_3_U_100_200__R_inter;752;752
25x4_3_U_100_200__R_uni;797;797
25x4_4_JobCorre_R_inter;409;364
25x4_4_JobCorre_R_uni;381;359
25x4_4_MachCorre_R_inter;205;205
25x4_4_MachCorre_R_uni;163;160
25x4_4_U_1_100__R_inter;142;142
25x4_4_U_1_100__R_uni;162;147
25x4_4_U_10_100__R_inter;188;188
25x4_4_U_10_100__R_uni;209;191
25x4_4_U_100_200__R_inter;781;781
25x4_4_U_100_200__R_uni;780;769
25x4_5_JobCorre_R_inter;330;313
25x4_5_JobCorre_R_uni;390;380
25x4_5_MachCorre_R_inter;240;240
25x4_5_MachCorre_R_uni;365;353
25x4_5_U_1_100__R_inter;151;151
25x4_5_U_1_100__R_uni;206;179
25x4_5_U_10_100__R_inter;198;198
25x4_5_U_10_100__R_uni;245;214
25x4_5_U_100_200__R_inter;784;784
25x4_5_U_100_200__R_uni;885;800
25x6_1_JobCorre_R_inter;236;208
25x6_1_JobCorre_R_uni;222;205
25x6_1_MachCorre_R_inter;154;154
25x6_1_MachCorre_R_uni;88;88
25x6_1_U_1_100__R_inter;74;74
25x6_1_U_1_100__R_uni;71;70
25x6_1_U_10_100__R_inter;104;104
25x6_1_U_10_100__R_uni;102;102
25x6_1_U_100_200__R_inter;534;534
25x6_1_U_100_200__R_uni;538;536
25x6_2_JobCorre_R_inter;181;181
25x6_2_JobCorre_R_uni;188;185
25x6_2_MachCorre_R_inter;191;191
25x6_2_MachCorre_R_uni;211;211
25x6_2_U_1_100__R_inter;89;89
25x6_2_U_1_100__R_uni;91;90
25x6_2_U_10_100__R_inter;124;124
25x6_2_U_10_100__R_uni;126;118
25x6_2_U_100_200__R_inter;541;541
25x6_2_U_100_200__R_uni;566;551
25x6_3_JobCorre_R_inter;231;218
25x6_3_JobCorre_R_uni;207;200
25x6_3_MachCorre_R_inter;197;197
25x6_3_MachCorre_R_uni;217;200
25x6_3_U_1_100__R_inter;57;57
25x6_3_U_1_100__R_uni;75;70
25x6_3_U_10_100__R_inter;91;91
25x6_3_U_10_100__R_uni;115;105
25x6_3_U_100_200__R_inter;530;530
25x6_3_U_100_200__R_uni;545;545
25x6_4_JobCorre_R_inter;230;214
25x6_4_JobCorre_R_uni;263;244
25x6_4_MachCorre_R_inter;217;214
25x6_4_MachCorre_R_uni;158;158
25x6_4_U_1_100__R_inter;58;58
25x6_4_U_1_100__R_uni;66;66
25x6_4_U_10_100__R_inter;97;97
25x6_4_U_10_100__R_uni;106;101
25x6_4_U_100_200__R_inter;531;531
25x6_4_U_100_200__R_uni;525;525
25x6_5_JobCorre_R_inter;288;258
25x6_5_JobCorre_R_uni;241;221
25x6_5_MachCorre_R_inter;170;170
25x6_5_MachCorre_R_uni;200;200
25x6_5_U_1_100__R_inter;67;67
25x6_5_U_1_100__R_uni;71;71
25x6_5_U_10_100__R_inter;102;102
25x6_5_U_10_100__R_uni;107;102
25x6_5_U_100_200__R_inter;522;522
25x6_5_U_100_200__R_uni;569;530
30x2_1_JobCorre_R_inter;1183;896
30x2_1_JobCorre_R_uni;787;787
30x2_1_MachCorre_R_inter;331;331
30x2_1_MachCorre_R_uni;861;827
30x2_1_U_1_100__R_inter;701;584
30x2_1_U_1_100__R_uni;678;618
30x2_1_U_10_100__R_inter;761;670
30x2_1_U_10_100__R_uni;770;699
30x2_1_U_100_200__R_inter;2223;2081
30x2_1_U_100_200__R_uni;2249;2107
30x2_2_JobCorre_R_inter;1131;898
30x2_2_JobCorre_R_uni;810;810
30x2_2_MachCorre_R_inter;725;685
30x2_2_MachCorre_R_uni;543;519
30x2_2_U_1_100__R_inter;512;493
30x2_2_U_1_100__R_uni;470;470
30x2_2_U_10_100__R_inter;611;590
30x2_2_U_10_100__R_uni;563;563
30x2_2_U_100_200__R_inter;1989;1989
30x2_2_U_100_200__R_uni;2044;1966
30x2_3_JobCorre_R_inter;1314;968
30x2_3_JobCorre_R_uni;770;770
30x2_3_MachCorre_R_inter;930;840
30x2_3_MachCorre_R_uni;1558;1462
30x2_3_U_1_100__R_inter;483;456
30x2_3_U_1_100__R_uni;726;597
30x2_3_U_10_100__R_inter;552;552
30x2_3_U_10_100__R_uni;818;676
30x2_3_U_100_200__R_inter;1953;1953
30x2_3_U_100_200__R_uni;2268;2084
30x2_4_JobCorre_R_inter;711;680
30x2_4_JobCorre_R_uni;892;855
30x2_4_MachCorre_R_inter;544;544
30x2_4_MachCorre_R_uni;907;859
30x2_4_U_1_100__R_inter;471;471
30x2_4_U_1_100__R_uni;543;543
30x2_4_U_10_100__R_inter;571;571
30x2_4_U_10_100__R_uni;630;630
30x2_4_U_100_200__R_inter;1966;1966
30x2_4_U_100_200__R_uni;2092;2039
30x2_5_JobCorre_R_inter;920;848
30x2_5_JobCorre_R_uni;874;842
30x2_5_MachCorre_R_inter;1342;1081
30x2_5_MachCorre_R_uni;900;854
30x2_5_U_1_100__R_inter;604;506
30x2_5_U_1_100__R_uni;412;390
30x2_5_U_10_100__R_inter;663;597
30x2_5_U_10_100__R_uni;515;485
30x2_5_U_100_200__R_inter;1994;1994
30x2_5_U_100_200__R_uni;1976;1883
30x4_1_JobCorre_R_inter;421;390
30x4_1_JobCorre_R_uni;371;371
30x4_1_MachCorre_R_inter;293;282
30x4_1_MachCorre_R_uni;321;310
30x4_1_U_1_100__R_inter;156;156
30x4_1_U_1_100__R_uni;127;127
30x4_1_U_10_100__R_inter;214;214
30x4_1_U_10_100__R_uni;179;179
30x4_1_U_100_200__R_inter;941;941
30x4_1_U_100_200__R_uni;883;883
30x4_2_JobCorre_R_inter;481;416
30x4_2_JobCorre_R_uni;465;464
30x4_2_MachCorre_R_inter;204;204
30x4_2_MachCorre_R_uni;121;121
30x4_2_U_1_100__R_inter;139;139
30x4_2_U_1_100__R_uni;179;177
30x4_2_U_10_100__R_inter;195;195
30x4_2_U_10_100__R_uni;235;229
30x4_2_U_100_200__R_inter;899;899
30x4_2_U_100_200__R_uni;958;924
30x4_3_JobCorre_R_inter;432;403
30x4_3_JobCorre_R_uni;481;481
30x4_3_MachCorre_R_inter;193;193
30x4_3_MachCorre_R_uni;563;537
30x4_3_U_1_100__R_inter;176;176
30x4_3_U_1_100__R_uni;164;164
30x4_3_U_10_100__R_inter;232;232
30x4_3_U_10_100__R_uni;217;217
30x4_3_U_100_200__R_inter;932;932
30x4_3_U_100_200__R_uni;937;918
30x4_4_JobCorre_R_inter;425;411
30x4_4_JobCorre_R_uni;381;367
30x4_4_MachCorre_R_inter;155;155
30x4_4_MachCorre_R_uni;380;380
30x4_4_U_1_100__R_inter;139;139
30x4_4_U_1_100__R_uni;108;108
30x4_4_U_10_100__R_inter;194;194
30x4_4_U_10_100__R_uni;170;170
30x4_4_U_100_200__R_inter;887;887
30x4_4_U_100_200__R_uni;880;880
30x4_5_JobCorre_R_inter;351;347
30x4_5_JobCorre_R_uni;405;386
30x4_5_MachCorre_R_inter;165;165
30x4_5_MachCorre_R_uni;216;216
30x4_5_U_1_100__R_inter;151;151
30x4_5_U_1_100__R_uni;218;199
30x4_5_U_10_100__R_inter;203;203
30x4_5_U_10_100__R_uni;257;249
30x4_5_U_100_200__R_inter;903;903
30x4_5_U_100_200__R_uni;957;953
30x6_1_JobCorre_R_inter;346;293
30x6_1_JobCorre_R_uni;287;264
30x6_1_MachCorre_R_inter;211;211
30x6_1_MachCorre_R_uni;255;249
30x6_1_U_1_100__R_inter;74;74
30x6_1_U_1_100__R_uni;82;82
30x6_1_U_10_100__R_inter;113;113
30x6_1_U_10_100__R_uni;119;119
30x6_1_U_100_200__R_inter;580;580
30x6_1_U_100_200__R_uni;662;592
30x6_2_JobCorre_R_inter;310;289
30x6_2_JobCorre_R_uni;246;225
30x6_2_MachCorre_R_inter;426;369
30x6_2_MachCorre_R_uni;182;182
30x6_2_U_1_100__R_inter;88;88
30x6_2_U_1_100__R_uni;84;84
30x6_2_U_10_100__R_inter;127;127
30x6_2_U_10_100__R_uni;122;122
30x6_2_U_100_200__R_inter;591;591
30x6_2_U_100_200__R_uni;599;599
30x6_3_JobCorre_R_inter;270;238
30x6_3_JobCorre_R_uni;273;273
30x6_3_MachCorre_R_inter;186;183
30x6_3_MachCorre_R_uni;217;198
30x6_3_U_1_100__R_inter;79;79
30x6_3_U_1_100__R_uni;95;89
30x6_3_U_10_100__R_inter;118;118
30x6_3_U_10_100__R_uni;132;127
30x6_3_U_100_200__R_inter;588;588
30x6_3_U_100_200__R_uni;622;594
30x6_4_JobCorre_R_inter;359;318
30x6_4_JobCorre_R_uni;269;251
30x6_4_MachCorre_R_inter;110;110
30x6_4_MachCorre_R_uni;357;346
30x6_4_U_1_100__R_inter;66;66
30x6_4_U_1_100__R_uni;82;82
30x6_4_U_10_100__R_inter;105;105
30x6_4_U_10_100__R_uni;122;122
30x6_4_U_100_200__R_inter;574;574
30x6_4_U_100_200__R_uni;593;593
30x6_5_JobCorre_R_inter;366;300
30x6_5_JobCorre_R_uni;302;302
30x6_5_MachCorre_R_inter;494;417
30x6_5_MachCorre_R_uni;173;169
30x6_5_U_1_100__R_inter;89;89
30x6_5_U_1_100__R_uni;98;98
30x6_5_U_10_100__R_inter;126;126
30x6_5_U_10_100__R_uni;132;132
30x6_5_U_100_200__R_inter;600;600
30x6_5_U_100_200__R_uni;599;599
