Instance;max LB
25x6_4_U_1_100__R_inter;58
25x6_4_U_1_100__R_uni;66
25x6_4_U_10_100__R_inter;97
25x6_4_U_10_100__R_uni;101
25x6_4_U_100_200__R_inter;531
25x6_4_U_100_200__R_uni;525
25x6_5_JobCorre_R_inter;258
25x6_5_JobCorre_R_uni;221
25x6_5_MachCorre_R_inter;170
25x6_5_MachCorre_R_uni;200
25x6_5_U_1_100__R_inter;67
25x6_5_U_1_100__R_uni;71
25x6_5_U_10_100__R_inter;102
25x6_5_U_10_100__R_uni;102
25x6_5_U_100_200__R_inter;522
25x6_5_U_100_200__R_uni;530
30x2_1_JobCorre_R_inter;896
30x2_1_JobCorre_R_uni;787
30x2_1_MachCorre_R_inter;331
30x2_1_MachCorre_R_uni;827
30x2_1_U_1_100__R_inter;584
30x2_1_U_1_100__R_uni;618
30x2_1_U_10_100__R_inter;670
30x2_1_U_10_100__R_uni;699
30x2_1_U_100_200__R_inter;2081
30x2_1_U_100_200__R_uni;2107
30x2_2_JobCorre_R_inter;898
30x2_2_JobCorre_R_uni;810
30x2_2_MachCorre_R_inter;685
30x2_2_MachCorre_R_uni;519
30x2_2_U_1_100__R_inter;493
30x2_2_U_1_100__R_uni;470
30x2_2_U_10_100__R_inter;590
30x2_2_U_10_100__R_uni;563
30x2_2_U_100_200__R_inter;1989
30x2_2_U_100_200__R_uni;1966
30x2_3_JobCorre_R_inter;968
30x2_3_JobCorre_R_uni;770
30x2_3_MachCorre_R_inter;840
30x2_3_MachCorre_R_uni;1462
30x2_3_U_1_100__R_inter;456
30x2_3_U_1_100__R_uni;597
30x2_3_U_10_100__R_inter;552
30x2_3_U_10_100__R_uni;676
30x2_3_U_100_200__R_inter;1953
30x2_3_U_100_200__R_uni;2084
30x2_4_JobCorre_R_inter;680
30x2_4_JobCorre_R_uni;855
30x2_4_MachCorre_R_inter;544
30x2_4_MachCorre_R_uni;859
30x2_4_U_1_100__R_inter;471
30x2_4_U_1_100__R_uni;543
30x2_4_U_10_100__R_inter;571
30x2_4_U_10_100__R_uni;630
30x2_4_U_100_200__R_inter;1966
30x2_4_U_100_200__R_uni;2039
30x2_5_JobCorre_R_inter;848
30x2_5_JobCorre_R_uni;842
30x2_5_MachCorre_R_inter;1081
30x2_5_MachCorre_R_uni;854
30x2_5_U_1_100__R_inter;506
30x2_5_U_1_100__R_uni;390
30x2_5_U_10_100__R_inter;597
30x2_5_U_10_100__R_uni;485
30x2_5_U_100_200__R_inter;1994
30x2_5_U_100_200__R_uni;1883
30x4_1_JobCorre_R_inter;390
30x4_1_JobCorre_R_uni;371
30x4_1_MachCorre_R_inter;282
30x4_1_MachCorre_R_uni;310
30x4_1_U_1_100__R_inter;156
30x4_1_U_1_100__R_uni;127
30x4_1_U_10_100__R_inter;214
30x4_1_U_10_100__R_uni;179
30x4_1_U_100_200__R_inter;941
30x4_1_U_100_200__R_uni;883
30x4_2_JobCorre_R_inter;416
30x4_2_JobCorre_R_uni;464
30x4_2_MachCorre_R_inter;204
30x4_2_MachCorre_R_uni;121
30x4_2_U_1_100__R_inter;139
30x4_2_U_1_100__R_uni;177
30x4_2_U_10_100__R_inter;195
30x4_2_U_10_100__R_uni;229
30x4_2_U_100_200__R_inter;899
30x4_2_U_100_200__R_uni;924
30x4_3_JobCorre_R_inter;403
30x4_3_JobCorre_R_uni;481
30x4_3_MachCorre_R_inter;193
30x4_3_MachCorre_R_uni;537
30x4_3_U_1_100__R_inter;176
30x4_3_U_1_100__R_uni;164
30x4_3_U_10_100__R_inter;232
30x4_3_U_10_100__R_uni;217
30x4_3_U_100_200__R_inter;932
30x4_3_U_100_200__R_uni;918
30x4_4_JobCorre_R_inter;411
30x4_4_JobCorre_R_uni;367
30x4_4_MachCorre_R_inter;155
30x4_4_MachCorre_R_uni;380
30x4_4_U_1_100__R_inter;139
30x4_4_U_1_100__R_uni;108
30x4_4_U_10_100__R_inter;194
30x4_4_U_10_100__R_uni;170
30x4_4_U_100_200__R_inter;887
30x4_4_U_100_200__R_uni;880
30x4_5_JobCorre_R_inter;347
30x4_5_JobCorre_R_uni;386
30x4_5_MachCorre_R_inter;165
30x4_5_MachCorre_R_uni;216
30x4_5_U_1_100__R_inter;151
30x4_5_U_1_100__R_uni;199
30x4_5_U_10_100__R_inter;203
30x4_5_U_10_100__R_uni;249
30x4_5_U_100_200__R_inter;903
30x4_5_U_100_200__R_uni;953
30x6_1_JobCorre_R_inter;293
30x6_1_JobCorre_R_uni;264
30x6_1_MachCorre_R_inter;211
30x6_1_MachCorre_R_uni;249
30x6_1_U_1_100__R_inter;74
30x6_1_U_1_100__R_uni;82
30x6_1_U_10_100__R_inter;113
30x6_1_U_10_100__R_uni;119
30x6_1_U_100_200__R_inter;580
30x6_1_U_100_200__R_uni;592
30x6_2_JobCorre_R_inter;289
30x6_2_JobCorre_R_uni;225
30x6_2_MachCorre_R_inter;369
30x6_2_MachCorre_R_uni;182
30x6_2_U_1_100__R_inter;88
30x6_2_U_1_100__R_uni;84
30x6_2_U_10_100__R_inter;127
30x6_2_U_10_100__R_uni;122
30x6_2_U_100_200__R_inter;591
30x6_2_U_100_200__R_uni;599
30x6_3_JobCorre_R_inter;238
30x6_3_JobCorre_R_uni;273
30x6_3_MachCorre_R_inter;183
30x6_3_MachCorre_R_uni;198
30x6_3_U_1_100__R_inter;79
30x6_3_U_1_100__R_uni;89
30x6_3_U_10_100__R_inter;118
30x6_3_U_10_100__R_uni;127
30x6_3_U_100_200__R_inter;588
30x6_3_U_100_200__R_uni;594
30x6_4_JobCorre_R_inter;318
30x6_4_JobCorre_R_uni;251
30x6_4_MachCorre_R_inter;110
30x6_4_MachCorre_R_uni;346
30x6_4_U_1_100__R_inter;66
30x6_4_U_1_100__R_uni;82
30x6_4_U_10_100__R_inter;105
30x6_4_U_10_100__R_uni;122
30x6_4_U_100_200__R_inter;574
30x6_4_U_100_200__R_uni;593
30x6_5_JobCorre_R_inter;300
30x6_5_JobCorre_R_uni;302
30x6_5_MachCorre_R_inter;417
30x6_5_MachCorre_R_uni;169
30x6_5_U_1_100__R_inter;89
30x6_5_U_1_100__R_uni;98
30x6_5_U_10_100__R_inter;126
30x6_5_U_10_100__R_uni;132
30x6_5_U_100_200__R_inter;600
30x6_5_U_100_200__R_uni;599
